date,strategy,etf,target_weight_pct
2026-04-17,v1,ANGL,4.72
2026-04-17,v1,BKLN,6.25
2026-04-17,v1,DBA,22.17
2026-04-17,v1,EMB,3.86
2026-04-17,v1,GLD,5.53
2026-04-17,v1,HYG,5.51
2026-04-17,v1,IEF,5.55
2026-04-17,v1,LQD,4.83
2026-04-17,v1,PDBC,7.14
2026-04-17,v1,PFF,4.02
2026-04-17,v1,SHY,16.86
2026-04-17,v1,SJNK,6.76
2026-04-17,v1,TIP,6.82
2026-04-17,v2,DBA,22.72
2026-04-17,v2,EMB,5.64
2026-04-17,v2,GLD,4.97
2026-04-17,v2,HYG,8.64
2026-04-17,v2,IEF,7.42
2026-04-17,v2,LQD,7.86
2026-04-17,v2,PDBC,6.87
2026-04-17,v2,PFF,6.45
2026-04-17,v2,SHY,19.8
2026-04-17,v2,SLV,3.15
2026-04-17,v2,SPY,1.89
2026-04-17,v2,VNQ,4.59
2026-04-17,v3,DBA,18.02
2026-04-17,v3,EDV,3.11
2026-04-17,v3,EMB,3.64
2026-04-17,v3,GLD,3.12
2026-04-17,v3,HYG,5.32
2026-04-17,v3,IEF,4.38
2026-04-17,v3,JPST,23.01
2026-04-17,v3,LQD,4.38
2026-04-17,v3,PDBC,5.06
2026-04-17,v3,SHY,9.83
2026-04-17,v3,SLV,1.38
2026-04-17,v3,TIP,3.78
2026-04-17,v3,TLT,3.39
2026-04-17,v3,VNQ,4.17
2026-04-17,v3,VTIP,7.42
