date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-10,v1,ANGL,5.17,4.77,-0.4,SELL
2026-04-10,v1,BKLN,6.75,6.26,-0.49,SELL
2026-04-10,v1,DBA,13.61,20.76,7.15,BUY
2026-04-10,v1,EMB,4.29,3.92,-0.37,SELL
2026-04-10,v1,HYG,6.13,5.68,-0.45,SELL
2026-04-10,v1,IEF,7.23,5.36,-1.87,SELL
2026-04-10,v1,LQD,5.28,4.85,-0.43,SELL
2026-04-10,v1,PDBC,0.0,6.52,6.52,BUY
2026-04-10,v1,PFF,4.33,4.14,-0.19,SELL
2026-04-10,v1,SHY,28.15,21.3,-6.85,SELL
2026-04-10,v1,SJNK,7.5,6.97,-0.53,SELL
2026-04-10,v1,TIP,7.87,6.7,-1.17,SELL
2026-04-10,v1,TLT,3.69,2.76,-0.93,SELL
2026-04-10,v2,DBA,5.26,16.62,11.36,BUY
2026-04-10,v2,EMB,6.6,5.81,-0.79,SELL
2026-04-10,v2,HYG,9.89,8.81,-1.08,SELL
2026-04-10,v2,IEF,12.35,8.3,-4.05,SELL
2026-04-10,v2,LQD,8.27,7.61,-0.66,SELL
2026-04-10,v2,PDBC,0.0,5.19,5.19,BUY
2026-04-10,v2,PFF,7.84,6.9,-0.94,SELL
2026-04-10,v2,SHY,39.87,30.78,-9.09,SELL
2026-04-10,v2,SPY,2.23,2.02,-0.21,SELL
2026-04-10,v2,TLT,4.09,2.96,-1.13,SELL
2026-04-10,v2,VNQ,3.59,5.01,1.42,BUY
2026-04-10,v3,DBA,8.42,15.14,6.72,BUY
2026-04-10,v3,EDV,0.0,2.7,2.7,BUY
2026-04-10,v3,EMB,3.88,3.49,-0.39,SELL
2026-04-10,v3,HYG,5.72,5.18,-0.54,SELL
2026-04-10,v3,IEF,6.83,5.06,-1.77,SELL
2026-04-10,v3,JPST,30.07,24.85,-5.22,SELL
2026-04-10,v3,LQD,4.61,4.18,-0.43,SELL
2026-04-10,v3,PDBC,2.48,4.47,1.99,BUY
2026-04-10,v3,SHY,16.5,15.26,-1.24,SELL
2026-04-10,v3,TIP,4.36,4.01,-0.35,SELL
2026-04-10,v3,TLT,4.72,3.38,-1.34,SELL
2026-04-10,v3,VNQ,3.33,4.26,0.93,BUY
2026-04-10,v3,VTIP,9.07,8.03,-1.04,SELL
