date,strategy,etf,target_weight_pct
2026-04-20,v1,ANGL,4.82
2026-04-20,v1,BKLN,6.23
2026-04-20,v1,DBA,20.4
2026-04-20,v1,EMB,3.89
2026-04-20,v1,GLD,5.32
2026-04-20,v1,HYG,5.63
2026-04-20,v1,IEF,5.39
2026-04-20,v1,LQD,4.88
2026-04-20,v1,PFF,4.15
2026-04-20,v1,SHY,22.8
2026-04-20,v1,SJNK,6.88
2026-04-20,v1,TIP,6.77
2026-04-20,v1,TLT,2.84
2026-04-20,v2,DBA,21.81
2026-04-20,v2,EMB,5.99
2026-04-20,v2,GLD,4.68
2026-04-20,v2,HYG,9.31
2026-04-20,v2,IEF,6.6
2026-04-20,v2,LQD,8.27
2026-04-20,v2,PFF,7.04
2026-04-20,v2,SHY,23.77
2026-04-20,v2,SLV,2.91
2026-04-20,v2,SPY,2.12
2026-04-20,v2,TLT,2.76
2026-04-20,v2,VNQ,4.73
2026-04-20,v3,DBA,17.21
2026-04-20,v3,EDV,2.91
2026-04-20,v3,EMB,3.8
2026-04-20,v3,GLD,3.04
2026-04-20,v3,HYG,5.59
2026-04-20,v3,IEF,4.45
2026-04-20,v3,JPST,23.21
2026-04-20,v3,LQD,4.58
2026-04-20,v3,SHY,14.83
2026-04-20,v3,SLV,1.34
2026-04-20,v3,TIP,3.83
2026-04-20,v3,TLT,3.3
2026-04-20,v3,VNQ,4.19
2026-04-20,v3,VTIP,7.71
