date,strategy,etf,target_weight_pct
2026-04-23,v1,ANGL,4.95
2026-04-23,v1,BKLN,6.45
2026-04-23,v1,DBA,19.08
2026-04-23,v1,EMB,3.98
2026-04-23,v1,GLD,4.98
2026-04-23,v1,HYG,5.77
2026-04-23,v1,IEF,5.66
2026-04-23,v1,LQD,4.99
2026-04-23,v1,PDBC,6.08
2026-04-23,v1,PFF,4.09
2026-04-23,v1,SHY,16.88
2026-04-23,v1,SJNK,7.06
2026-04-23,v1,TIP,7.02
2026-04-23,v1,TLT,3.0
2026-04-23,v2,DBA,17.88
2026-04-23,v2,EMB,6.3
2026-04-23,v2,GLD,4.52
2026-04-23,v2,HYG,9.69
2026-04-23,v2,IEF,7.14
2026-04-23,v2,LQD,9.11
2026-04-23,v2,PDBC,5.77
2026-04-23,v2,PFF,6.86
2026-04-23,v2,SHY,22.9
2026-04-23,v2,SPY,2.16
2026-04-23,v2,TLT,2.9
2026-04-23,v2,VNQ,4.76
2026-04-23,v3,DBA,16.48
2026-04-23,v3,EDV,3.13
2026-04-23,v3,EMB,3.57
2026-04-23,v3,GLD,2.95
2026-04-23,v3,HYG,5.15
2026-04-23,v3,IEF,4.79
2026-04-23,v3,JPST,23.93
2026-04-23,v3,LQD,4.35
2026-04-23,v3,PDBC,4.59
2026-04-23,v3,SHY,11.58
2026-04-23,v3,TIP,4.01
2026-04-23,v3,TLT,3.59
2026-04-23,v3,VNQ,4.06
2026-04-23,v3,VTIP,7.82
