date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-14,v1,DBA,21.94,22.28,0.34,BUY
2026-04-14,v1,PDBC,0.0,6.89,6.89,BUY
2026-04-14,v1,PFF,4.03,3.96,-0.07,SELL
2026-04-14,v1,SHY,28.12,21.18,-6.94,SELL
2026-04-14,v1,TIP,6.59,6.52,-0.07,SELL
2026-04-14,v2,DBA,17.76,21.77,4.01,BUY
2026-04-14,v2,EMB,5.46,5.13,-0.33,SELL
2026-04-14,v2,HYG,8.13,7.75,-0.38,SELL
2026-04-14,v2,IEF,8.25,7.2,-1.05,SELL
2026-04-14,v2,LQD,7.5,7.0,-0.5,SELL
2026-04-14,v2,PDBC,0.0,7.1,7.1,BUY
2026-04-14,v2,PFF,6.49,5.93,-0.56,SELL
2026-04-14,v2,SHY,36.52,29.05,-7.47,SELL
2026-04-14,v2,SPY,1.92,1.8,-0.12,SELL
2026-04-14,v2,TLT,3.01,2.73,-0.28,SELL
2026-04-14,v2,VNQ,4.95,4.53,-0.42,SELL
2026-04-14,v3,DBA,15.89,17.85,1.96,BUY
2026-04-14,v3,EDV,2.87,0.0,-2.87,SELL
2026-04-14,v3,EMB,3.51,3.63,0.12,BUY
2026-04-14,v3,HYG,5.13,5.28,0.15,BUY
2026-04-14,v3,IEF,4.89,5.0,0.11,BUY
2026-04-14,v3,JPST,24.28,24.13,-0.15,SELL
2026-04-14,v3,LQD,4.2,4.36,0.16,BUY
2026-04-14,v3,PDBC,4.66,5.04,0.38,BUY
2026-04-14,v3,SHY,14.98,15.32,0.34,BUY
2026-04-14,v3,TLT,3.44,3.57,0.13,BUY
2026-04-14,v3,VNQ,4.25,4.13,-0.12,SELL
2026-04-14,v3,VTIP,7.9,7.72,-0.18,SELL
