date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-22,v1,ANGL,4.97,4.8,-0.17,SELL
2026-04-22,v1,BKLN,6.43,6.25,-0.18,SELL
2026-04-22,v1,DBA,18.25,20.21,1.96,BUY
2026-04-22,v1,EMB,4.01,3.86,-0.15,SELL
2026-04-22,v1,GLD,4.8,0.0,-4.8,SELL
2026-04-22,v1,HYG,5.8,5.6,-0.2,SELL
2026-04-22,v1,IEF,5.86,5.54,-0.32,SELL
2026-04-22,v1,LQD,5.03,4.85,-0.18,SELL
2026-04-22,v1,PDBC,5.82,6.48,0.66,BUY
2026-04-22,v1,PFF,4.28,4.09,-0.19,SELL
2026-04-22,v1,SHY,17.45,21.6,4.15,BUY
2026-04-22,v1,SJNK,7.1,6.85,-0.25,SELL
2026-04-22,v1,TIP,7.11,6.86,-0.25,SELL
2026-04-22,v1,TLT,3.1,3.01,-0.09,SELL
2026-04-22,v2,DBA,20.06,20.2,0.14,BUY
2026-04-22,v2,EMB,5.9,6.1,0.2,BUY
2026-04-22,v2,GLD,4.75,0.0,-4.75,SELL
2026-04-22,v2,HYG,9.22,9.33,0.11,BUY
2026-04-22,v2,IEF,8.32,7.8,-0.52,SELL
2026-04-22,v2,LQD,8.28,8.82,0.54,BUY
2026-04-22,v2,PFF,6.93,7.2,0.27,BUY
2026-04-22,v2,SHY,21.96,28.46,6.5,BUY
2026-04-22,v2,SLV,2.78,0.0,-2.78,SELL
2026-04-22,v2,VNQ,4.39,4.59,0.2,BUY
2026-04-22,v3,DBA,17.09,17.44,0.35,BUY
2026-04-22,v3,EDV,3.41,3.88,0.47,BUY
2026-04-22,v3,EMB,3.51,3.33,-0.18,SELL
2026-04-22,v3,GLD,3.02,3.11,0.09,BUY
2026-04-22,v3,HYG,5.15,4.89,-0.26,SELL
2026-04-22,v3,IEF,4.66,4.6,-0.06,SELL
2026-04-22,v3,JPST,23.43,23.09,-0.34,SELL
2026-04-22,v3,LQD,4.24,4.08,-0.16,SELL
2026-04-22,v3,PDBC,4.76,4.86,0.1,BUY
2026-04-22,v3,SHY,10.11,11.09,0.98,BUY
2026-04-22,v3,SLV,1.34,0.0,-1.34,SELL
2026-04-22,v3,TIP,3.89,3.99,0.1,BUY
2026-04-22,v3,TLT,3.68,3.93,0.25,BUY
