date,strategy,etf,target_weight_pct
2026-04-27,v1,ANGL,4.55
2026-04-27,v1,BKLN,6.29
2026-04-27,v1,DBA,21.94
2026-04-27,v1,EMB,3.61
2026-04-27,v1,GLD,6.07
2026-04-27,v1,HYG,5.29
2026-04-27,v1,IEF,5.31
2026-04-27,v1,LQD,4.57
2026-04-27,v1,PDBC,7.17
2026-04-27,v1,PFF,3.87
2026-04-27,v1,SHY,15.5
2026-04-27,v1,SJNK,6.49
2026-04-27,v1,TIP,6.51
2026-04-27,v1,TLT,2.84
2026-04-27,v2,DBA,20.03
2026-04-27,v2,EMB,5.79
2026-04-27,v2,GLD,5.71
2026-04-27,v2,HYG,8.71
2026-04-27,v2,IEF,7.11
2026-04-27,v2,LQD,7.98
2026-04-27,v2,PDBC,7.07
2026-04-27,v2,PFF,6.04
2026-04-27,v2,SHY,21.89
2026-04-27,v2,SPY,1.94
2026-04-27,v2,TLT,3.06
2026-04-27,v2,VNQ,4.67
2026-04-27,v3,DBA,17.47
2026-04-27,v3,EDV,3.38
2026-04-27,v3,EMB,3.51
2026-04-27,v3,GLD,3.21
2026-04-27,v3,HYG,5.1
2026-04-27,v3,IEF,4.53
2026-04-27,v3,JPST,23.12
2026-04-27,v3,LQD,4.31
2026-04-27,v3,PDBC,4.99
2026-04-27,v3,SHY,11.09
2026-04-27,v3,TIP,4.0
2026-04-27,v3,TLT,3.64
2026-04-27,v3,VNQ,4.09
2026-04-27,v3,VTIP,7.58
