date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-23,v1,ANGL,4.8,4.95,0.15,BUY
2026-04-23,v1,BKLN,6.25,6.45,0.2,BUY
2026-04-23,v1,DBA,20.21,19.08,-1.13,SELL
2026-04-23,v1,EMB,3.86,3.98,0.12,BUY
2026-04-23,v1,GLD,0.0,4.98,4.98,BUY
2026-04-23,v1,HYG,5.6,5.77,0.17,BUY
2026-04-23,v1,IEF,5.54,5.66,0.12,BUY
2026-04-23,v1,LQD,4.85,4.99,0.14,BUY
2026-04-23,v1,PDBC,6.48,6.08,-0.4,SELL
2026-04-23,v1,SHY,21.6,16.88,-4.72,SELL
2026-04-23,v1,SJNK,6.85,7.06,0.21,BUY
2026-04-23,v1,TIP,6.86,7.02,0.16,BUY
2026-04-23,v2,DBA,20.2,17.88,-2.32,SELL
2026-04-23,v2,EMB,6.1,6.3,0.2,BUY
2026-04-23,v2,GLD,0.0,4.52,4.52,BUY
2026-04-23,v2,HYG,9.33,9.69,0.36,BUY
2026-04-23,v2,IEF,7.8,7.14,-0.66,SELL
2026-04-23,v2,LQD,8.82,9.11,0.29,BUY
2026-04-23,v2,PDBC,5.47,5.77,0.3,BUY
2026-04-23,v2,PFF,7.2,6.86,-0.34,SELL
2026-04-23,v2,SHY,28.46,22.9,-5.56,SELL
2026-04-23,v2,SPY,2.02,2.16,0.14,BUY
2026-04-23,v2,TLT,0.0,2.9,2.9,BUY
2026-04-23,v2,VNQ,4.59,4.76,0.17,BUY
2026-04-23,v3,DBA,17.44,16.48,-0.96,SELL
2026-04-23,v3,EDV,3.88,3.13,-0.75,SELL
2026-04-23,v3,EMB,3.33,3.57,0.24,BUY
2026-04-23,v3,GLD,3.11,2.95,-0.16,SELL
2026-04-23,v3,HYG,4.89,5.15,0.26,BUY
2026-04-23,v3,IEF,4.6,4.79,0.19,BUY
2026-04-23,v3,JPST,23.09,23.93,0.84,BUY
2026-04-23,v3,LQD,4.08,4.35,0.27,BUY
2026-04-23,v3,PDBC,4.86,4.59,-0.27,SELL
2026-04-23,v3,SHY,11.09,11.58,0.49,BUY
2026-04-23,v3,TLT,3.93,3.59,-0.34,SELL
2026-04-23,v3,VTIP,7.71,7.82,0.11,BUY
