date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-24,v1,ANGL,4.95,4.47,-0.48,SELL
2026-04-24,v1,BKLN,6.45,6.16,-0.29,SELL
2026-04-24,v1,DBA,19.08,22.59,3.51,BUY
2026-04-24,v1,EMB,3.98,3.56,-0.42,SELL
2026-04-24,v1,GLD,4.98,0.0,-4.98,SELL
2026-04-24,v1,HYG,5.77,5.2,-0.57,SELL
2026-04-24,v1,IEF,5.66,5.22,-0.44,SELL
2026-04-24,v1,LQD,4.99,4.49,-0.5,SELL
2026-04-24,v1,PDBC,6.08,7.38,1.3,BUY
2026-04-24,v1,PFF,4.09,3.75,-0.34,SELL
2026-04-24,v1,SHY,16.88,21.56,4.68,BUY
2026-04-24,v1,SJNK,7.06,6.38,-0.68,SELL
2026-04-24,v1,TIP,7.02,6.43,-0.59,SELL
2026-04-24,v1,TLT,3.0,2.81,-0.19,SELL
2026-04-24,v2,DBA,17.88,20.94,3.06,BUY
2026-04-24,v2,EMB,6.3,5.5,-0.8,SELL
2026-04-24,v2,GLD,4.52,0.0,-4.52,SELL
2026-04-24,v2,HYG,9.69,8.62,-1.07,SELL
2026-04-24,v2,IEF,7.14,6.73,-0.41,SELL
2026-04-24,v2,LQD,9.11,7.85,-1.26,SELL
2026-04-24,v2,PDBC,5.77,7.4,1.63,BUY
2026-04-24,v2,PFF,6.86,5.95,-0.91,SELL
2026-04-24,v2,SHY,22.9,27.72,4.82,BUY
2026-04-24,v2,SPY,2.16,1.91,-0.25,SELL
2026-04-24,v2,TLT,2.9,2.75,-0.15,SELL
2026-04-24,v2,VNQ,4.76,4.63,-0.13,SELL
2026-04-24,v3,DBA,16.48,18.01,1.53,BUY
2026-04-24,v3,EDV,3.13,3.48,0.35,BUY
2026-04-24,v3,EMB,3.57,3.32,-0.25,SELL
2026-04-24,v3,GLD,2.95,3.32,0.37,BUY
2026-04-24,v3,HYG,5.15,4.83,-0.32,SELL
2026-04-24,v3,IEF,4.79,4.52,-0.27,SELL
2026-04-24,v3,JPST,23.93,22.94,-0.99,SELL
2026-04-24,v3,LQD,4.35,4.08,-0.27,SELL
2026-04-24,v3,PDBC,4.59,5.15,0.56,BUY
2026-04-24,v3,SHY,11.58,11.05,-0.53,SELL
2026-04-24,v3,TLT,3.59,3.69,0.1,BUY
2026-04-24,v3,VTIP,7.82,7.56,-0.26,SELL
