date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-27,v1,ANGL,4.47,4.55,0.08,BUY
2026-04-27,v1,BKLN,6.16,6.29,0.13,BUY
2026-04-27,v1,DBA,22.59,21.94,-0.65,SELL
2026-04-27,v1,GLD,0.0,6.07,6.07,BUY
2026-04-27,v1,HYG,5.2,5.29,0.09,BUY
2026-04-27,v1,IEF,5.22,5.31,0.09,BUY
2026-04-27,v1,LQD,4.49,4.57,0.08,BUY
2026-04-27,v1,PDBC,7.38,7.17,-0.21,SELL
2026-04-27,v1,PFF,3.75,3.87,0.12,BUY
2026-04-27,v1,SHY,21.56,15.5,-6.06,SELL
2026-04-27,v1,SJNK,6.38,6.49,0.11,BUY
2026-04-27,v1,TIP,6.43,6.51,0.08,BUY
2026-04-27,v2,DBA,20.94,20.03,-0.91,SELL
2026-04-27,v2,EMB,5.5,5.79,0.29,BUY
2026-04-27,v2,GLD,0.0,5.71,5.71,BUY
2026-04-27,v2,HYG,8.62,8.71,0.09,BUY
2026-04-27,v2,IEF,6.73,7.11,0.38,BUY
2026-04-27,v2,LQD,7.85,7.98,0.13,BUY
2026-04-27,v2,PDBC,7.4,7.07,-0.33,SELL
2026-04-27,v2,PFF,5.95,6.04,0.09,BUY
2026-04-27,v2,SHY,27.72,21.89,-5.83,SELL
2026-04-27,v2,TLT,2.75,3.06,0.31,BUY
2026-04-27,v3,DBA,18.01,17.47,-0.54,SELL
2026-04-27,v3,EDV,3.48,3.38,-0.1,SELL
2026-04-27,v3,EMB,3.32,3.51,0.19,BUY
2026-04-27,v3,GLD,3.32,3.21,-0.11,SELL
2026-04-27,v3,HYG,4.83,5.1,0.27,BUY
2026-04-27,v3,JPST,22.94,23.12,0.18,BUY
2026-04-27,v3,LQD,4.08,4.31,0.23,BUY
2026-04-27,v3,PDBC,5.15,4.99,-0.16,SELL
