date,strategy,etf,target_weight_pct
2026-04-21,v1,ANGL,4.97
2026-04-21,v1,BKLN,6.43
2026-04-21,v1,DBA,18.25
2026-04-21,v1,EMB,4.01
2026-04-21,v1,GLD,4.8
2026-04-21,v1,HYG,5.8
2026-04-21,v1,IEF,5.86
2026-04-21,v1,LQD,5.03
2026-04-21,v1,PDBC,5.82
2026-04-21,v1,PFF,4.28
2026-04-21,v1,SHY,17.45
2026-04-21,v1,SJNK,7.1
2026-04-21,v1,TIP,7.11
2026-04-21,v1,TLT,3.1
2026-04-21,v2,DBA,20.06
2026-04-21,v2,EMB,5.9
2026-04-21,v2,GLD,4.75
2026-04-21,v2,HYG,9.22
2026-04-21,v2,IEF,8.32
2026-04-21,v2,LQD,8.28
2026-04-21,v2,PDBC,5.44
2026-04-21,v2,PFF,6.93
2026-04-21,v2,SHY,21.96
2026-04-21,v2,SLV,2.78
2026-04-21,v2,SPY,1.97
2026-04-21,v2,VNQ,4.39
2026-04-21,v3,DBA,17.09
2026-04-21,v3,EDV,3.41
2026-04-21,v3,EMB,3.51
2026-04-21,v3,GLD,3.02
2026-04-21,v3,HYG,5.15
2026-04-21,v3,IEF,4.66
2026-04-21,v3,JPST,23.43
2026-04-21,v3,LQD,4.24
2026-04-21,v3,PDBC,4.76
2026-04-21,v3,SHY,10.11
2026-04-21,v3,SLV,1.34
2026-04-21,v3,TIP,3.89
2026-04-21,v3,TLT,3.68
2026-04-21,v3,VNQ,3.96
2026-04-21,v3,VTIP,7.76
