date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-17,v1,ANGL,4.64,4.72,0.08,BUY
2026-04-17,v1,BKLN,6.15,6.25,0.1,BUY
2026-04-17,v1,DBA,21.5,22.17,0.67,BUY
2026-04-17,v1,EMB,3.8,3.86,0.06,BUY
2026-04-17,v1,GLD,0.0,5.53,5.53,BUY
2026-04-17,v1,HYG,5.44,5.51,0.07,BUY
2026-04-17,v1,IEF,5.34,5.55,0.21,BUY
2026-04-17,v1,PDBC,6.96,7.14,0.18,BUY
2026-04-17,v1,PFF,3.88,4.02,0.14,BUY
2026-04-17,v1,SHY,21.34,16.86,-4.48,SELL
2026-04-17,v1,SJNK,6.66,6.76,0.1,BUY
2026-04-17,v1,TIP,6.66,6.82,0.16,BUY
2026-04-17,v2,DBA,22.3,22.72,0.42,BUY
2026-04-17,v2,EMB,5.55,5.64,0.09,BUY
2026-04-17,v2,GLD,0.0,4.97,4.97,BUY
2026-04-17,v2,HYG,8.36,8.64,0.28,BUY
2026-04-17,v2,IEF,6.88,7.42,0.54,BUY
2026-04-17,v2,LQD,7.71,7.86,0.15,BUY
2026-04-17,v2,PDBC,6.74,6.87,0.13,BUY
2026-04-17,v2,PFF,6.28,6.45,0.17,BUY
2026-04-17,v2,SHY,23.73,19.8,-3.93,SELL
2026-04-17,v2,TLT,2.79,0.0,-2.79,SELL
2026-04-17,v3,DBA,17.92,18.02,0.1,BUY
2026-04-17,v3,EDV,3.04,3.11,0.07,BUY
2026-04-17,v3,GLD,0.0,3.12,3.12,BUY
2026-04-17,v3,HYG,5.24,5.32,0.08,BUY
2026-04-17,v3,IEF,4.44,4.38,-0.06,SELL
2026-04-17,v3,JPST,23.2,23.01,-0.19,SELL
2026-04-17,v3,SHY,13.05,9.83,-3.22,SELL
