date,strategy,etf,target_weight_pct
2026-04-13,v1,ANGL,4.64
2026-04-13,v1,BKLN,6.01
2026-04-13,v1,DBA,21.94
2026-04-13,v1,EMB,3.81
2026-04-13,v1,HYG,5.45
2026-04-13,v1,IEF,5.29
2026-04-13,v1,LQD,4.7
2026-04-13,v1,PFF,4.03
2026-04-13,v1,SHY,28.12
2026-04-13,v1,SJNK,6.67
2026-04-13,v1,TIP,6.59
2026-04-13,v1,TLT,2.75
2026-04-13,v2,DBA,17.76
2026-04-13,v2,EMB,5.46
2026-04-13,v2,HYG,8.13
2026-04-13,v2,IEF,8.25
2026-04-13,v2,LQD,7.5
2026-04-13,v2,PFF,6.49
2026-04-13,v2,SHY,36.52
2026-04-13,v2,SPY,1.92
2026-04-13,v2,TLT,3.01
2026-04-13,v2,VNQ,4.95
2026-04-13,v3,DBA,15.89
2026-04-13,v3,EDV,2.87
2026-04-13,v3,EMB,3.51
2026-04-13,v3,HYG,5.13
2026-04-13,v3,IEF,4.89
2026-04-13,v3,JPST,24.28
2026-04-13,v3,LQD,4.2
2026-04-13,v3,PDBC,4.66
2026-04-13,v3,SHY,14.98
2026-04-13,v3,TIP,3.99
2026-04-13,v3,TLT,3.44
2026-04-13,v3,VNQ,4.25
2026-04-13,v3,VTIP,7.9
