date,strategy,etf,prev_weight_pct,target_weight_pct,delta_pct,action
2026-04-13,v1,ANGL,4.77,4.64,-0.13,SELL
2026-04-13,v1,BKLN,6.26,6.01,-0.25,SELL
2026-04-13,v1,DBA,20.76,21.94,1.18,BUY
2026-04-13,v1,EMB,3.92,3.81,-0.11,SELL
2026-04-13,v1,HYG,5.68,5.45,-0.23,SELL
2026-04-13,v1,IEF,5.36,5.29,-0.07,SELL
2026-04-13,v1,LQD,4.85,4.7,-0.15,SELL
2026-04-13,v1,PDBC,6.52,0.0,-6.52,SELL
2026-04-13,v1,PFF,4.14,4.03,-0.11,SELL
2026-04-13,v1,SHY,21.3,28.12,6.82,BUY
2026-04-13,v1,SJNK,6.97,6.67,-0.3,SELL
2026-04-13,v1,TIP,6.7,6.59,-0.11,SELL
2026-04-13,v2,DBA,16.62,17.76,1.14,BUY
2026-04-13,v2,EMB,5.81,5.46,-0.35,SELL
2026-04-13,v2,HYG,8.81,8.13,-0.68,SELL
2026-04-13,v2,LQD,7.61,7.5,-0.11,SELL
2026-04-13,v2,PDBC,5.19,0.0,-5.19,SELL
2026-04-13,v2,PFF,6.9,6.49,-0.41,SELL
2026-04-13,v2,SHY,30.78,36.52,5.74,BUY
2026-04-13,v2,SPY,2.02,1.92,-0.1,SELL
2026-04-13,v2,VNQ,5.01,4.95,-0.06,SELL
2026-04-13,v3,DBA,15.14,15.89,0.75,BUY
2026-04-13,v3,EDV,2.7,2.87,0.17,BUY
2026-04-13,v3,IEF,5.06,4.89,-0.17,SELL
2026-04-13,v3,JPST,24.85,24.28,-0.57,SELL
2026-04-13,v3,PDBC,4.47,4.66,0.19,BUY
2026-04-13,v3,SHY,15.26,14.98,-0.28,SELL
2026-04-13,v3,TLT,3.38,3.44,0.06,BUY
2026-04-13,v3,VTIP,8.03,7.9,-0.13,SELL
