date,strategy,etf,target_weight_pct
2026-04-10,v1,ANGL,4.77
2026-04-10,v1,BKLN,6.26
2026-04-10,v1,DBA,20.76
2026-04-10,v1,EMB,3.92
2026-04-10,v1,HYG,5.68
2026-04-10,v1,IEF,5.36
2026-04-10,v1,LQD,4.85
2026-04-10,v1,PDBC,6.52
2026-04-10,v1,PFF,4.14
2026-04-10,v1,SHY,21.3
2026-04-10,v1,SJNK,6.97
2026-04-10,v1,TIP,6.7
2026-04-10,v1,TLT,2.76
2026-04-10,v2,DBA,16.62
2026-04-10,v2,EMB,5.81
2026-04-10,v2,HYG,8.81
2026-04-10,v2,IEF,8.3
2026-04-10,v2,LQD,7.61
2026-04-10,v2,PDBC,5.19
2026-04-10,v2,PFF,6.9
2026-04-10,v2,SHY,30.78
2026-04-10,v2,SPY,2.02
2026-04-10,v2,TLT,2.96
2026-04-10,v2,VNQ,5.01
2026-04-10,v3,DBA,15.14
2026-04-10,v3,EDV,2.7
2026-04-10,v3,EMB,3.49
2026-04-10,v3,HYG,5.18
2026-04-10,v3,IEF,5.06
2026-04-10,v3,JPST,24.85
2026-04-10,v3,LQD,4.18
2026-04-10,v3,PDBC,4.47
2026-04-10,v3,SHY,15.26
2026-04-10,v3,TIP,4.01
2026-04-10,v3,TLT,3.38
2026-04-10,v3,VNQ,4.26
2026-04-10,v3,VTIP,8.03
