date,strategy,etf,target_weight_pct
2026-04-15,v1,ANGL,4.81
2026-04-15,v1,BKLN,6.32
2026-04-15,v1,DBA,20.91
2026-04-15,v1,EMB,3.94
2026-04-15,v1,HYG,5.64
2026-04-15,v1,IEF,5.27
2026-04-15,v1,LQD,4.89
2026-04-15,v1,PDBC,6.55
2026-04-15,v1,PFF,4.03
2026-04-15,v1,SHY,21.34
2026-04-15,v1,SJNK,6.9
2026-04-15,v1,TIP,6.65
2026-04-15,v1,TLT,2.75
2026-04-15,v2,DBA,19.46
2026-04-15,v2,EMB,6.14
2026-04-15,v2,HYG,9.21
2026-04-15,v2,IEF,6.43
2026-04-15,v2,LQD,8.4
2026-04-15,v2,PDBC,6.55
2026-04-15,v2,PFF,6.96
2026-04-15,v2,SHY,24.27
2026-04-15,v2,SLV,3.08
2026-04-15,v2,SPY,2.14
2026-04-15,v2,TLT,2.47
2026-04-15,v2,VNQ,4.88
2026-04-15,v3,DBA,16.94
2026-04-15,v3,EDV,2.48
2026-04-15,v3,EMB,3.63
2026-04-15,v3,GLD,2.95
2026-04-15,v3,HYG,5.28
2026-04-15,v3,IEF,4.7
2026-04-15,v3,JPST,24.07
2026-04-15,v3,LQD,4.36
2026-04-15,v3,PDBC,4.78
2026-04-15,v3,SHY,10.71
2026-04-15,v3,SLV,1.28
2026-04-15,v3,TIP,3.81
2026-04-15,v3,TLT,3.11
2026-04-15,v3,VNQ,4.28
2026-04-15,v3,VTIP,7.62
