date,strategy,etf,target_weight_pct
2026-04-14,v1,ANGL,4.62
2026-04-14,v1,BKLN,6.03
2026-04-14,v1,DBA,22.28
2026-04-14,v1,EMB,3.79
2026-04-14,v1,HYG,5.42
2026-04-14,v1,IEF,5.24
2026-04-14,v1,LQD,4.69
2026-04-14,v1,PDBC,6.89
2026-04-14,v1,PFF,3.96
2026-04-14,v1,SHY,21.18
2026-04-14,v1,SJNK,6.62
2026-04-14,v1,TIP,6.52
2026-04-14,v1,TLT,2.76
2026-04-14,v2,DBA,21.77
2026-04-14,v2,EMB,5.13
2026-04-14,v2,HYG,7.75
2026-04-14,v2,IEF,7.2
2026-04-14,v2,LQD,7.0
2026-04-14,v2,PDBC,7.1
2026-04-14,v2,PFF,5.93
2026-04-14,v2,SHY,29.05
2026-04-14,v2,SPY,1.8
2026-04-14,v2,TLT,2.73
2026-04-14,v2,VNQ,4.53
2026-04-14,v3,DBA,17.85
2026-04-14,v3,EMB,3.63
2026-04-14,v3,HYG,5.28
2026-04-14,v3,IEF,5.0
2026-04-14,v3,JPST,24.13
2026-04-14,v3,LQD,4.36
2026-04-14,v3,PDBC,5.04
2026-04-14,v3,SHY,15.32
2026-04-14,v3,TIP,3.97
2026-04-14,v3,TLT,3.57
2026-04-14,v3,VNQ,4.13
2026-04-14,v3,VTIP,7.72
