date,strategy,etf,target_weight_pct
2026-04-16,v1,ANGL,4.64
2026-04-16,v1,BKLN,6.15
2026-04-16,v1,DBA,21.5
2026-04-16,v1,EMB,3.8
2026-04-16,v1,HYG,5.44
2026-04-16,v1,IEF,5.34
2026-04-16,v1,LQD,4.78
2026-04-16,v1,PDBC,6.96
2026-04-16,v1,PFF,3.88
2026-04-16,v1,SHY,21.34
2026-04-16,v1,SJNK,6.66
2026-04-16,v1,TIP,6.66
2026-04-16,v1,TLT,2.85
2026-04-16,v2,DBA,22.3
2026-04-16,v2,EMB,5.55
2026-04-16,v2,HYG,8.36
2026-04-16,v2,IEF,6.88
2026-04-16,v2,LQD,7.71
2026-04-16,v2,PDBC,6.74
2026-04-16,v2,PFF,6.28
2026-04-16,v2,SHY,23.73
2026-04-16,v2,SLV,3.12
2026-04-16,v2,SPY,1.94
2026-04-16,v2,TLT,2.79
2026-04-16,v2,VNQ,4.61
2026-04-16,v3,DBA,17.92
2026-04-16,v3,EDV,3.04
2026-04-16,v3,EMB,3.6
2026-04-16,v3,HYG,5.24
2026-04-16,v3,IEF,4.44
2026-04-16,v3,JPST,23.2
2026-04-16,v3,LQD,4.34
2026-04-16,v3,PDBC,5.03
2026-04-16,v3,SHY,13.05
2026-04-16,v3,SLV,1.35
2026-04-16,v3,TIP,3.8
2026-04-16,v3,TLT,3.38
2026-04-16,v3,VNQ,4.18
2026-04-16,v3,VTIP,7.42
